original_filename,main_category,specific_food_name,query,pexels_id,source_url,downloaded_url,photographer,photographer_url,width,height,provider,local_file
chinese-food-beef-noodles-32708186.jpg,Chinese-Food,beef-noodles,Chinese beef noodle soup,32708186,https://www.pexels.com/photo/delicious-asian-beef-soup-with-vegetables-32708186/,https://images.pexels.com/photos/32708186/pexels-photo-32708186.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Yuen Tou  Zan,https://www.pexels.com/@tochtliyeung1996,6224,4672,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-beef-noodles-32708186.jpg
chinese-food-beef-noodles-1907229.jpg,Chinese-Food,beef-noodles,Chinese beef noodle soup,1907229,https://www.pexels.com/photo/cooked-noodles-on-ceramic-bowl-1907229/,https://images.pexels.com/photos/1907229/pexels-photo-1907229.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Cats Coming,https://www.pexels.com/@catscoming,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-beef-noodles-1907229.jpg
chinese-food-beef-noodles-33571857.jpg,Chinese-Food,beef-noodles,Chinese beef noodle soup,33571857,https://www.pexels.com/photo/traditional-taiwanese-beef-noodle-soup-in-chiayi-33571857/,https://images.pexels.com/photos/33571857/pexels-photo-33571857.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Juna Miranda,https://www.pexels.com/@dominjoona,6720,4480,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-beef-noodles-33571857.jpg
chinese-food-beef-noodles-36783995.jpg,Chinese-Food,beef-noodles,Chinese beef noodle soup,36783995,https://www.pexels.com/photo/delicious-bowl-of-spicy-asian-beef-noodle-soup-36783995/,https://images.pexels.com/photos/36783995/pexels-photo-36783995.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Hallie,https://www.pexels.com/@hallie-77354130,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-beef-noodles-36783995.jpg
chinese-food-fried-rice-28503589.jpg,Chinese-Food,fried-rice,Chinese fried rice,28503589,https://www.pexels.com/photo/delicious-fried-rice-with-omelette-garnish-28503589/,https://images.pexels.com/photos/28503589/pexels-photo-28503589.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Nano Erdozain,https://www.pexels.com/@nano-erdozain-120534369,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-fried-rice-28503589.jpg
chinese-food-fried-rice-13065212.jpg,Chinese-Food,fried-rice,Chinese fried rice,13065212,https://www.pexels.com/photo/fried-rice-in-a-bowl-13065212/,https://images.pexels.com/photos/13065212/pexels-photo-13065212.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Marvin  Sacdalan,https://www.pexels.com/@marvin-sacdalan-276316567,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-fried-rice-13065212.jpg
chinese-food-fried-rice-5409016.jpg,Chinese-Food,fried-rice,Chinese fried rice,5409016,https://www.pexels.com/photo/rice-meal-with-brown-sauce-on-oval-plate-5409016/,https://images.pexels.com/photos/5409016/pexels-photo-5409016.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Momo King,https://www.pexels.com/@momo-king-3616480,6240,4160,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-fried-rice-5409016.jpg
chinese-food-fried-rice-31710629.jpg,Chinese-Food,fried-rice,Chinese fried rice,31710629,https://www.pexels.com/photo/gourmet-seafood-fried-rice-on-rustic-table-31710629/,https://images.pexels.com/photos/31710629/pexels-photo-31710629.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Nano Erdozain,https://www.pexels.com/@nano-erdozain-120534369,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-fried-rice-31710629.jpg
chinese-food-shrimp-dumplings-32393810.jpg,Chinese-Food,shrimp-dumplings,shrimp dumplings dim sum,32393810,https://www.pexels.com/photo/steamed-dim-sum-in-bamboo-steamers-32393810/,https://images.pexels.com/photos/32393810/pexels-photo-32393810.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Change C.C,https://www.pexels.com/@change-c-c-974768353,6720,4130,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-shrimp-dumplings-32393810.jpg
chinese-food-shrimp-dumplings-31261436.jpg,Chinese-Food,shrimp-dumplings,shrimp dumplings dim sum,31261436,https://www.pexels.com/photo/delicious-steamed-shrimp-dumplings-in-bamboo-basket-31261436/,https://images.pexels.com/photos/31261436/pexels-photo-31261436.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Change C.C,https://www.pexels.com/@change-c-c-974768353,6720,4480,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-shrimp-dumplings-31261436.jpg
